nome,email,cpf,data_nascimento,curso_id
Ana Almeida,fernando21@teixeira.com,61520738986,2004-04-24,2
Vinicius da Cruz,das-nevesaugusto@yahoo.com.br,64035712906,1989-06-23,5
Enzo Gabriel AragÃ£o,cecilia79@uol.com.br,42107839514,1978-01-20,8
Joana Sales,rochabianca@yahoo.com.br,53642178090,1966-07-09,1
Sr. Davi Lucas Cavalcanti,scardoso@costela.com,25731409897,1982-04-03,2
LÃ­via Teixeira,murilo99@ig.com.br,64902835738,1984-11-20,10
BenÃ­cio Monteiro,hgoncalves@ig.com.br,98264705383,1984-04-11,3
JoÃ£o Guilherme da Rosa,yda-conceicao@oliveira.net,70483612987,2004-02-20,5
Ian Pires,milena94@pires.br,51637289030,1980-03-20,7
Gustavo Henrique Alves,eloah52@ig.com.br,47936108203,1969-07-17,8
Joana Almeida,vinicius79@ig.com.br,79582364173,1977-09-14,3
Emilly Moura,tgomes@almeida.br,70295468300,1997-05-30,3
Enzo Gabriel da Luz,isabelpeixoto@da.com,86729410558,1991-11-26,9
Luiz Fernando da Cruz,mariane81@silveira.com,30415682762,1982-03-09,10
Felipe Silva,ofogaca@hotmail.com,39762804104,1993-11-02,5
NatÃ¡lia Nascimento,emanuelramos@bol.com.br,28095617377,1987-01-08,6
Leonardo Cavalcanti,da-matanicolas@moura.com,15203697434,1989-05-02,2
Julia Lima,viniciusda-paz@yahoo.com.br,17362058462,2004-12-31,9
Srta. JÃºlia da Cruz,cda-costa@yahoo.com.br,60549781366,1978-01-25,8
Isis Castro,ana-laura63@azevedo.br,59740318657,1982-03-20,7
Nina GonÃ§alves,pedro-henrique38@fernandes.net,01237864950,1985-02-28,9
Esther Pinto,vda-mota@cardoso.org,87045196202,2005-12-19,6
Pedro Lucas Pinto,clarafarias@yahoo.com.br,74968152094,2000-07-21,5
Dra. Sophia Castro,ana-livia77@jesus.net,65297483000,2007-07-14,7
Srta. LavÃ­nia Oliveira,luiz-fernando61@gmail.com,89062143598,1972-01-28,4
Dr. Murilo Lima,gustavo21@uol.com.br,49856130298,1974-02-14,10
Pietra Santos,igorfernandes@azevedo.com,05824731950,1989-08-19,5
Luiz Henrique da Cunha,fernanda12@bol.com.br,42075381607,1970-12-24,3
JoÃ£o Gabriel Dias,andrerodrigues@alves.org,14730289650,1988-06-28,4
Emanuelly Souza,eduardo93@yahoo.com.br,64038217922,1991-04-06,7
CecÃ­lia Vieira,souzaisabella@monteiro.com,80549367101,1982-01-31,1
JoÃ£o Miguel da Mata,gfernandes@ig.com.br,20359417841,2002-09-05,2
Dr. Yuri Costa,davi-lucascunha@ig.com.br,10972534814,1982-12-11,3
Dr. JoÃ£o Gabriel Gomes,thomasfernandes@barros.br,35978261059,1971-10-12,5
Emanuelly Castro,maria-cecilia47@da.br,09783251686,2000-12-27,2
JoÃ£o Guilherme Caldeira,danilo24@da.br,25670194306,2007-01-13,6
Maria Luiza Nunes,halves@lopes.com,10923675868,1994-05-21,9
Sophie Castro,leandro83@aragao.net,34176520817,2006-01-06,8
Sophia Moura,laura08@barros.org,46723018508,2004-02-20,7
Amanda Ramos,rodriguesana-sophia@ig.com.br,72910386422,1969-05-01,10
Sra. Stephany da Mata,brunaduarte@bol.com.br,72486930574,1994-07-06,5
Pedro Miguel Costa,pedro-miguel11@araujo.br,68152497002,1976-01-16,1
Srta. AlÃ­cia Novaes,olivia28@lopes.br,28091364598,1974-10-16,1
Luiza Peixoto,lorena19@yahoo.com.br,35240967199,1966-05-18,3
Maria Sophia Ferreira,melissa12@uol.com.br,78512693002,1971-10-04,9
Evelyn Santos,heitor56@bol.com.br,58436179048,1999-12-05,10
Dr. BenÃ­cio Santos,anthonyalves@barros.org,40618927387,1972-04-19,3
Luigi Carvalho,da-matalais@cardoso.com,48076125901,1965-07-30,10
Lorena da Cunha,ylima@hotmail.com,47123589041,2005-07-16,9
Rebeca AragÃ£o,jesusgustavo-henrique@yahoo.com.br,36854927056,1999-05-12,4
Vitor Gabriel Duarte,sabrina28@silva.com,79831546075,1973-07-02,4
Elisa Lopes,joao-miguelcaldeira@martins.br,71982650303,1994-03-07,4
Kevin Oliveira,lavinia86@silva.net,82963701586,1981-05-05,9
JoÃ£o Guilherme Monteiro,maria15@ig.com.br,17562984328,1994-04-26,2
Juan Silva,cfernandes@monteiro.com,26309871595,1975-06-13,7
Ana Laura Costa,juan75@duarte.org,42675089176,1977-04-28,10
Dra. Raquel Farias,monteirodiogo@uol.com.br,53460829133,1993-02-28,10
Gabrielly Azevedo,oliveiraluna@gmail.com,37128540997,1981-02-06,2
Srta. Beatriz da Luz,barbaralopes@uol.com.br,72190684501,1982-04-27,6
Ana Beatriz da Paz,mramos@gmail.com,19432805760,1989-03-23,1
LavÃ­nia da ConceiÃ§Ã£o,mirella81@hotmail.com,15830649748,2003-05-24,7
Dra. Evelyn Pinto,lnascimento@silveira.br,04973152897,1992-03-21,9
Pedro Lucas da Mata,danielaramos@porto.com,85793024123,2007-06-11,5
Danilo Fernandes,thomasporto@oliveira.org,36285107408,1978-05-18,4
Sr. BenÃ­cio Correia,alexandre50@hotmail.com,94016728304,1999-07-21,6
Lorena da Mata,melissa50@das.br,78201639502,1972-06-26,6
BÃ¡rbara Rodrigues,luiz-miguelmelo@bol.com.br,98251047676,1994-08-24,1
Sr. Augusto da Paz,wgoncalves@bol.com.br,54109823714,1995-09-23,2
Luiz Fernando Moraes,qgomes@gmail.com,76431290887,1979-03-14,6
Maria VitÃ³ria Sales,joao-pedro26@caldeira.com,08795613277,1991-02-21,3
Srta. Mariana Cardoso,lorenzoda-cruz@campos.org,53782061462,1999-12-30,5
BenÃ­cio Campos,tmelo@nascimento.br,53276901480,1967-08-01,6
Paulo Teixeira,pedro-lucasda-paz@ig.com.br,82910736512,1999-04-11,1
Srta. Mirella Pires,calebecunha@bol.com.br,98075364210,1993-10-20,8
Eduardo da Rocha,costakamilly@bol.com.br,82746193078,1996-06-17,2
MaitÃª GonÃ§alves,limasophie@martins.net,16845037280,1994-04-25,9
Srta. Emanuelly Gomes,mnovaes@hotmail.com,96540387148,1990-06-19,9
Miguel GonÃ§alves,bdias@uol.com.br,43682019731,1984-10-17,1
Sr. Guilherme Mendes,costacamila@silveira.net,39645287146,1967-10-15,6
Laura Vieira,juliaazevedo@gmail.com,10739852612,1991-01-25,4
Nicolas Teixeira,emanuellacaldeira@ig.com.br,30479256152,2003-09-15,3
Pietro AraÃºjo,mgomes@hotmail.com,32705918612,1967-02-08,1
Agatha Novaes,enzosantos@hotmail.com,50286197430,1997-02-12,10
Caio Cardoso,martinslevi@ig.com.br,74689213003,1994-08-07,3
Manuela Costa,pedro-miguelda-luz@aragao.br,17062453943,1981-03-02,7
Lara Peixoto,silveiraisadora@nunes.com,46392015752,2007-10-27,10
NatÃ¡lia Cardoso,costelaana-julia@costela.br,15628039489,2005-09-29,7
Ana VitÃ³ria Pinto,jda-rosa@dias.net,61394802560,1985-02-08,8
Theo da Mata,cardosomarina@gmail.com,23695081759,1997-07-23,7
Felipe Nunes,jesusrebeca@silveira.com,70493852123,1985-06-29,1
OtÃ¡vio Novaes,ldias@uol.com.br,23840976103,1969-03-25,4
Stella Peixoto,biancamoreira@uol.com.br,91082567485,1973-04-12,7
Breno Pereira,daniloda-mata@uol.com.br,46937108222,1972-09-04,8
Rafaela Sales,viniciusmonteiro@ig.com.br,50478321635,1969-11-20,8
Joaquim da Luz,ana-beatriz22@cunha.org,14320597699,1989-09-05,1
Nathan Silveira,evelynporto@ig.com.br,79485123655,1967-09-03,10
Srta. Maria Fernanda Melo,wnovaes@hotmail.com,96130782586,1993-11-02,8
Mirella Carvalho,kazevedo@vieira.br,19628574337,1976-06-15,1
Calebe Melo,novaeslavinia@yahoo.com.br,69230518433,1983-04-10,6
Mirella Mendes,oda-rocha@peixoto.br,93104528624,2002-10-16,1
Dra. Clara Sales,juanfarias@ig.com.br,60135847290,2006-11-25,2
Luigi Silveira,paragao@sales.org,32051786968,1986-10-05,10
Sr. Pietro Cunha,joaoaragao@da.br,34278096178,1992-04-22,2
JoÃ£o Guilherme Novaes,marianecorreia@almeida.com,32486701931,1978-04-11,3
Luiz Henrique Correia,gabriellyferreira@cardoso.net,89205461776,1979-01-05,8
Enrico Pires,ypinto@vieira.com,76493150884,1978-12-16,4
Luana AragÃ£o,ynovaes@lopes.br,70169584348,1970-04-09,7
Thiago Jesus,maria-claraduarte@melo.br,83170529404,2006-04-16,2
Pedro Costa,melissa67@goncalves.com,43162059780,1977-09-06,2
Ian Pereira,daniela05@peixoto.br,81345697066,1968-02-01,6
CauÃ£ da Rocha,mpeixoto@ig.com.br,16243895033,1996-02-27,9
Manuela Sales,xbarros@cardoso.br,34860295765,1985-08-12,2
Sr. Henrique Ramos,maria-clarafreitas@yahoo.com.br,96408215351,1977-01-06,6
Carlos Eduardo Santos,krocha@hotmail.com,58967102402,2007-06-23,8
Pedro Lucas Souza,vianamaria-julia@farias.net,94162750343,1995-01-14,3
Sr. Davi Luiz Pinto,pedro-lucas23@gmail.com,47329510823,1999-03-21,10
Nicolas Pinto,sbarros@hotmail.com,26194380551,2000-08-28,7
Nicole Nunes,sazevedo@cardoso.com,24370619831,1993-09-05,4
Sra. Amanda Moura,wsantos@monteiro.com,37546208190,2003-02-12,8
JoÃ£o Gabriel Monteiro,vianaluigi@campos.com,59162480324,2006-11-03,10
Davi Lucas Moraes,joao-pedro79@fernandes.br,63054978265,1999-06-13,7
Yuri Alves,da-rosasabrina@yahoo.com.br,86073459157,1970-04-26,7
Dr. Rodrigo Peixoto,mramos@porto.br,29640175811,1980-01-19,10
Enzo Melo,alicegomes@cavalcanti.com,69321574034,1998-12-30,5
Mirella Pires,luna26@ferreira.org,45963710839,1994-09-17,6
Sr. Fernando Moreira,isabellyramos@ig.com.br,14782053690,2000-04-07,8
Luna Dias,sribeiro@vieira.br,63987041501,1996-02-22,5
Stella Nascimento,arthur23@azevedo.com,14238509714,1969-01-24,9
Enzo Cardoso,raquelvieira@oliveira.com,83961524033,1966-07-07,6
Stella Melo,brodrigues@hotmail.com,57094138288,1985-09-12,6
Ian Gomes,nlopes@yahoo.com.br,18637249078,1981-07-05,10
Gabrielly Gomes,alexiacostela@uol.com.br,69273581455,1999-10-26,2
Enzo Alves,luizaalmeida@rodrigues.com,59760823195,1998-09-13,3
JoÃ£o Vitor Porto,maria-vitoria67@gmail.com,48603257965,1966-09-04,10
Gustavo Melo,stephanylopes@sales.com,06457231934,1976-03-11,10
Luiz Gustavo Ribeiro,lorenzo50@da.com,34516908298,1988-10-31,4
Sabrina AraÃºjo,santosclarice@cavalcanti.br,95823174691,1968-10-22,8
Ryan FogaÃ§a,monteiroana-beatriz@bol.com.br,32145087923,1988-03-05,9
Sr. Yago da Cunha,noahpeixoto@bol.com.br,40536982198,1983-03-11,9
Pietra Souza,vitor-hugonascimento@bol.com.br,59260318777,1970-01-09,8
Bianca Ferreira,lais46@gmail.com,09721465801,1985-04-13,9
Sra. Yasmin Silva,xmelo@uol.com.br,68023947583,1980-12-25,6
Emanuelly Novaes,gustavopeixoto@uol.com.br,12580463933,2007-03-30,5
Caio Carvalho,julia62@hotmail.com,52684301735,1983-05-01,5
Isabel Cardoso,jnovaes@das.br,36045971884,1970-05-28,7
Helena AraÃºjo,silvakaique@hotmail.com,57204139607,1996-01-07,1
JoÃ£o Lucas Jesus,laviniasantos@rodrigues.com,29318640722,2000-12-27,9
NatÃ¡lia Martins,marianadas-neves@bol.com.br,26517903895,1970-02-22,5
Juan da ConceiÃ§Ã£o,nataliasilva@uol.com.br,16493582709,1995-03-04,9
Bruna Duarte,eduardocastro@gmail.com,82765491364,1998-10-23,9
Srta. Isabelly Rodrigues,nramos@barbosa.com,04682537180,1965-07-19,7
Agatha Silva,rodriguesandre@barbosa.com,86923405106,1991-06-24,1
Valentina Nogueira,mirellasilveira@yahoo.com.br,58024731690,1982-12-26,2
Clara AragÃ£o,danielaoliveira@hotmail.com,49205736180,2005-07-10,6
AntÃ´nio da Mata,castroclarice@gmail.com,52897631473,1998-05-27,9
JoÃ£o Vitor Duarte,oalmeida@melo.br,68470359193,1984-12-10,6
Thomas Mendes,juliana32@ig.com.br,53062418753,2007-06-26,10
Pedro Henrique Nogueira,qmonteiro@hotmail.com,85049263700,1999-05-14,4
Thomas Pinto,fernandesdaniel@barbosa.br,74583120680,1987-08-10,7
Kaique Pereira,maysada-luz@teixeira.br,61874590320,1981-12-11,1
Juan Moraes,ffogaca@hotmail.com,10273869469,1993-11-17,3
Renan Alves,uoliveira@correia.org,07431956207,1994-07-03,2
Sofia Cunha,caua67@dias.net,76401389222,2006-06-13,6
Sr. Luiz OtÃ¡vio Monteiro,alexandrerodrigues@novaes.com,19320546770,1995-12-22,7
Davi Cavalcanti,luiz-fernando24@ig.com.br,60714538280,1989-01-14,8
Maria Luiza da Rosa,da-mataevelyn@uol.com.br,23561749070,2000-05-14,7
Dr. Vitor Gabriel Moraes,diogo03@gmail.com,18023457950,1980-05-06,7
Kamilly Novaes,tda-rocha@nunes.org,87251906368,2004-08-02,3
Dr. Kaique Santos,mendesraquel@gmail.com,20364589124,1995-12-19,10
Maria Eduarda Sales,luizada-rosa@uol.com.br,18052967449,1992-05-03,2
Pietra Vieira,da-matarodrigo@da.br,06438597210,1989-11-16,4
Alexandre Porto,maria-vitoria45@sales.br,48617903287,1985-02-06,2
Yasmin da Rocha,ana-vitoria19@cunha.org,30259687456,2000-02-24,2
JoÃ£o Felipe Barros,anthony69@hotmail.com,37260184507,1974-01-23,1
Pedro Henrique da Cunha,da-cunhabernardo@ig.com.br,26913745800,1980-12-07,6
JoÃ£o Gabriel da Mota,melomaysa@gmail.com,84259631764,1995-07-19,2
Danilo da ConceiÃ§Ã£o,marcos-viniciusnascimento@castro.org,30851296777,1998-04-21,8
Lucas Gabriel Melo,fogacalucas@da.br,08491635793,1987-05-30,3
Luiz Gustavo Jesus,bernardo31@pires.net,07983264500,2004-08-07,3
Caio Farias,dda-mata@bol.com.br,34982167087,2001-04-28,7
Alexia Ramos,pedro67@das.br,80671493566,1969-10-14,7
Srta. Maria Sophia Monteiro,ana-lauraoliveira@almeida.net,47569128001,1985-04-20,8
JoÃ£o Lucas AraÃºjo,moreiramaria-alice@vieira.com,42658310790,1989-11-24,2
JoÃ£o Miguel Cunha,cecilia98@yahoo.com.br,61859320759,1979-03-14,8
Marcelo Correia,salescamila@bol.com.br,28617049502,1976-10-30,4
Pedro Lucas Souza,luigicostela@ig.com.br,26734891500,1992-06-20,7
Srta. Ana LÃ­via Viana,nunescaroline@bol.com.br,34689215006,1995-02-09,10
Lucas Gabriel Costa,da-luzdiego@gmail.com,89760345200,1993-05-29,6
Anthony Peixoto,viniciusgoncalves@yahoo.com.br,12345068744,2004-01-16,8
JoÃ£o Gabriel Oliveira,rafaelda-paz@rezende.org,40875916384,2001-02-10,8
Paulo Moraes,luiz-henrique65@moreira.br,96204137506,1984-09-16,8
Brenda Cunha,thiagocosta@gmail.com,31945687282,1987-09-04,4
Nathan AraÃºjo,pedro-miguel88@yahoo.com.br,75891624346,2001-12-03,4
Dra. Maria Oliveira,da-pazlorenzo@moraes.com,08954176348,1965-11-22,6
Vinicius da Rocha,das-nevesmaria-eduarda@fernandes.br,90831567295,1984-03-25,6
Emanuelly Vieira,maria-julia51@bol.com.br,01562793470,1994-12-22,7
Daniel da Rocha,limamaria-eduarda@goncalves.br,79305842160,2004-07-09,8
Lorenzo Almeida,spinto@yahoo.com.br,17628435017,1971-08-31,5
Ana Vieira,teixeirabreno@da.com,57209614370,1971-01-30,7
Luiz OtÃ¡vio Nogueira,souzaheloisa@cardoso.com,23867901422,1965-08-06,2
Srta. Nina AraÃºjo,pietra03@gmail.com,02461358753,1967-08-28,3
Kamilly da Paz,da-luzerick@bol.com.br,21506374999,1988-06-11,3
Daniel Correia,helena68@bol.com.br,50463127862,1969-10-08,8
Pietra Caldeira,erick08@yahoo.com.br,67243850910,1967-12-07,10
Daniel da Mota,ofernandes@novaes.net,32067518453,2006-02-19,4
Lorenzo da Mota,davi-luizfernandes@gomes.br,83617540910,1991-04-17,3
VitÃ³ria Cavalcanti,arthur50@yahoo.com.br,65237018912,1979-01-29,6
Srta. Maria Luiza Rocha,oda-cruz@viana.br,80517423979,1972-02-25,1
Nicolas Moura,vda-rosa@bol.com.br,58013247988,1980-06-01,1
Sr. AntÃ´nio Correia,clarabarros@ig.com.br,03965127802,1998-01-15,1
Mariana Martins,felipefernandes@alves.br,62384075144,1990-01-31,7
Isis Fernandes,pietra29@yahoo.com.br,92563801702,1980-01-24,10
Davi Vieira,ana-luizada-conceicao@hotmail.com,95103428741,1975-08-29,6
Alexandre Silva,flopes@lopes.br,08591624351,1974-06-09,7
BenÃ­cio da Costa,leonardoda-conceicao@hotmail.com,23780196450,2004-08-08,1
Ana Beatriz Sales,kda-cunha@da.br,83456271026,1992-04-01,3
Maria VitÃ³ria Teixeira,da-motajoao@castro.com,46179032831,1997-06-26,2
Dr. Davi Lucas da Costa,qda-mota@rodrigues.br,84263710940,1976-12-06,3
Gabriela da Cruz,isis07@costela.org,24395786065,1978-06-15,8
Ana Clara da Costa,teixeirabruno@pereira.com,79631582400,2004-01-29,4
Kamilly Dias,heitor03@cavalcanti.com,94572861382,1997-10-28,3
